"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"664454822","664404142","294","","","2008-02-01 01:19:40 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","@ario, i think shrink is short for ""headshrinker"""
"637323542","","","","","2008-01-24 19:15:58 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Do you know anyone with a leap year birthday?"
"602467662","","","","","2008-01-15 17:54:55 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Excited about new iPhone features and iTunes movie rentals!"
"572549782","","","","","2008-01-07 17:54:38 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Health month day 1 report: easy peasy, but ran out of energy in the mountains yesterday pretty quickly. Today: return to slow weights!"
"567674972","","","","","2008-01-06 08:02:32 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Just put my last January smoke out in my last January beer."
"567638162","","","","","2008-01-06 07:42:14 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","My health month starts in 20 minutes! Last Makers on the rocks is being so delicious."
"559956432","","","","","2008-01-03 23:26:58 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","4,309 miles from NYC to Seattle in a week. 0 tickets, 20 red bulls, 3 lbs, and one soulmate richer. Ready for health month!"
"559166202","","","","","2008-01-03 18:16:34 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","I told the front desk that I stole an Ace Hotel robe and was interested in paying for it... but they don't sell them!"
"557432762","","","","","2008-01-03 06:03:11 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","12 hours of driving make the Portland Ace Hotel seem like heaven!"
"556546212","","","","","2008-01-02 23:18:42 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Taking an accidental detour through the redwood forest. Could be worse!"
"554062442","","","","","2008-01-02 04:42:51 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Only made it 60 miles today. Great dinner and conversation in Healdsburg, CA with KA's old friends."
"551933672","","","","","2008-01-01 09:25:35 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","A guy with 9 tophats is between us and 9 apple fritters at Bob's Donuts"
"551826012","","","","","2008-01-01 08:14:32 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Your fortune: the new year will be happy!"
